net_tplgy,size,energy_mean,energy_std,srv_tplgy,rn_type,srv_tplgy_index
clique,9,43.46,10.97,best,No RN,0
clique,9,43.46,10.97,worst,No RN,1
star,9,101.51,39.71,best,No RN,0
star,9,216.20,72.14,worst,No RN,1
grid,9,135.52,36.25,best,No RN,0
grid,9,192.83,45.85,worst,No RN,1
ring,9,321.94,73.43,best,No RN,0
ring,9,321.94,73.43,worst,No RN,1
chain,9,397.93,94.71,best,No RN,0
chain,9,726.25,146.19,worst,No RN,1
clique,16,32.53,5.52,best,No RN,0
clique,16,32.53,5.52,worst,No RN,1
star,16,127.50,39.90,best,No RN,0
star,16,249.21,63.79,worst,No RN,1
grid,16,198.89,44.00,best,No RN,0
grid,16,270.66,48.50,worst,No RN,1
ring,16,659.90,107.31,best,No RN,0
ring,16,659.90,107.31,worst,No RN,1
chain,16,764.09,146.96,best,No RN,0
chain,16,1415.97,207.00,worst,No RN,1
clique,25,26.13,3.52,best,No RN,0
clique,25,26.13,3.52,worst,No RN,1
star,25,145.83,47.04,best,No RN,0
star,25,279.10,74.05,worst,No RN,1
grid,25,233.89,43.36,best,No RN,0
grid,25,344.86,53.27,worst,No RN,1
ring,25,1071.28,147.28,best,No RN,0
ring,25,1071.28,147.28,worst,No RN,1
chain,25,1218.46,164.94,best,No RN,0
chain,25,2273.33,265.03,worst,No RN,1
clique,9,1.96,0.10,best,best,2
clique,9,1.96,0.10,worst,worst,5
star,9,1.96,0.10,best,best,2
star,9,98.11,40.93,worst,worst,5
grid,9,42.50,19.88,best,best,2
grid,9,128.70,40.86,worst,worst,5
ring,9,236.96,61.18,best,best,2
ring,9,236.96,61.18,worst,worst,5
chain,9,294.64,87.17,best,best,2
chain,9,634.00,131.97,worst,worst,5
clique,16,2.01,0.07,best,best,2
clique,16,2.01,0.07,worst,worst,5
star,16,2.01,0.07,best,best,2
star,16,127.88,41.84,worst,worst,5
grid,16,134.60,40.11,best,best,2
grid,16,208.97,44.57,worst,worst,5
ring,16,568.20,101.82,best,best,2
ring,16,568.20,101.82,worst,worst,5
chain,16,671.59,134.38,best,best,2
chain,16,1311.78,213.54,worst,worst,5
clique,25,2.04,0.04,best,best,2
clique,25,2.04,0.04,worst,worst,5
star,25,2.04,0.04,best,best,2
star,25,148.33,50.08,worst,worst,5
grid,25,168.75,33.53,best,best,2
grid,25,288.71,48.17,worst,worst,5
ring,25,981.29,138.30,best,best,2
ring,25,981.29,138.30,worst,worst,5
chain,25,1111.10,159.87,best,best,2
chain,25,2167.37,272.18,worst,worst,5
clique,9,4.36,0.70,best,worst,4
clique,9,4.36,0.70,worst,best,3
star,9,97.05,40.70,best,worst,4
star,9,4.36,0.65,worst,best,3
grid,9,116.03,36.00,best,worst,4
grid,9,93.64,37.36,worst,best,3
ring,9,240.38,62.28,best,worst,4
ring,9,240.38,62.28,worst,best,3
chain,9,361.92,104.24,best,worst,4
chain,9,530.48,118.16,worst,best,3
clique,16,4.65,0.63,best,worst,4
clique,16,4.65,0.63,worst,best,3
star,16,126.11,40.53,best,worst,4
star,16,4.63,0.62,worst,best,3
grid,16,170.22,37.08,best,worst,4
grid,16,207.22,46.60,worst,best,3
ring,16,558.09,97.76,best,worst,4
ring,16,558.09,97.76,worst,best,3
chain,16,741.57,148.20,best,worst,4
chain,16,1219.40,204.22,worst,best,3
clique,25,4.86,0.55,best,worst,4
clique,25,4.86,0.55,worst,best,3
star,25,144.88,47.45,best,worst,4
star,25,4.80,0.55,worst,best,3
grid,25,220.44,42.13,best,worst,4
grid,25,275.04,47.46,worst,best,3
ring,25,972.93,142.33,best,worst,4
ring,25,972.93,142.33,worst,best,3
chain,25,1180.13,164.25,best,worst,4
chain,25,2082.70,274.00,worst,best,3
