net_tplgy,size,energy_mean,energy_std,srv_tplgy,rn_type,srv_tplgy_index
clique,9,26.29,6.77,best,No RN,0
clique,9,26.29,6.77,worst,No RN,1
star,9,67.38,29.15,best,No RN,2
star,9,128.16,36.18,worst,No RN,3
grid,9,93.99,30.28,best,No RN,4
grid,9,126.03,26.22,worst,No RN,5
ring,9,227.50,48.84,best,No RN,6
ring,9,227.50,48.84,worst,No RN,7
chain,9,272.04,60.48,best,No RN,8
chain,9,479.53,95.58,worst,No RN,9
clique,16,37.25,6.31,best,No RN,0
clique,16,37.25,6.31,worst,No RN,1
star,16,158.00,55.85,best,No RN,2
star,16,295.43,85.53,worst,No RN,3
grid,16,244.96,48.75,best,No RN,4
grid,16,318.83,50.46,worst,No RN,5
ring,16,789.77,111.88,best,No RN,6
ring,16,789.77,111.88,worst,No RN,7
chain,16,909.20,186.64,best,No RN,8
chain,16,1614.59,201.34,worst,No RN,9
clique,25,49.29,7.59,best,No RN,0
clique,25,49.29,7.59,worst,No RN,1
star,25,288.11,121.27,best,No RN,2
star,25,533.52,157.16,worst,No RN,3
grid,25,447.05,92.63,best,No RN,4
grid,25,642.63,82.67,worst,No RN,5
ring,25,2003.50,261.27,best,No RN,6
ring,25,2003.50,261.27,worst,No RN,7
chain,25,2318.40,292.59,best,No RN,8
chain,25,4254.12,498.67,worst,No RN,9
clique,9,1.37,0.05,best,RN on agg,0
clique,9,1.37,0.05,worst,RN on agg,1
star,9,1.37,0.06,best,RN on agg,2
star,9,70.16,34.83,worst,RN on agg,3
grid,9,39.20,18.26,best,RN on agg,4
grid,9,110.84,33.24,worst,RN on agg,5
ring,9,195.17,55.03,best,RN on agg,6
ring,9,195.17,55.03,worst,RN on agg,7
chain,9,232.61,65.87,best,RN on agg,8
chain,9,472.92,103.24,worst,RN on agg,9
clique,16,2.51,0.07,best,RN on agg,0
clique,16,2.51,0.07,worst,RN on agg,1
star,16,2.50,0.07,best,RN on agg,2
star,16,168.17,60.46,worst,RN on agg,3
grid,16,203.31,52.92,best,RN on agg,4
grid,16,286.03,60.92,worst,RN on agg,5
ring,16,786.01,150.11,best,RN on agg,6
ring,16,786.01,150.11,worst,RN on agg,7
chain,16,917.30,190.90,best,RN on agg,8
chain,16,1576.61,174.46,worst,RN on agg,9
clique,25,3.95,0.09,best,RN on agg,0
clique,25,3.95,0.09,worst,RN on agg,1
star,25,3.95,0.09,best,RN on agg,2
star,25,300.41,125.98,worst,RN on agg,3
grid,25,374.97,66.88,best,RN on agg,4
grid,25,580.90,110.20,worst,RN on agg,5
ring,25,1973.14,251.25,best,RN on agg,6
ring,25,1973.14,251.25,worst,RN on agg,7
chain,25,2364.52,300.21,best,RN on agg,8
chain,25,3998.29,407.58,worst,RN on agg,9
clique,9,4.07,0.79,best,RN not on agg,0
clique,9,4.07,0.79,worst,RN not on agg,1
star,9,69.43,33.29,best,RN not on agg,2
star,9,3.90,0.63,worst,RN not on agg,3
grid,9,91.72,34.27,best,RN not on agg,4
grid,9,87.43,34.94,worst,RN not on agg,5
ring,9,199.78,59.94,best,RN not on agg,6
ring,9,199.78,59.94,worst,RN not on agg,7
chain,9,278.57,74.18,best,RN not on agg,8
chain,9,436.78,89.98,worst,RN not on agg,9
clique,16,7.65,1.22,best,RN not on agg,0
clique,16,7.65,1.22,worst,RN not on agg,1
star,16,166.23,59.22,best,RN not on agg,2
star,16,7.33,1.21,worst,RN not on agg,3
grid,16,238.35,54.86,best,RN not on agg,4
grid,16,302.73,71.14,worst,RN not on agg,5
ring,16,764.89,123.56,best,RN not on agg,6
ring,16,764.89,123.56,worst,RN not on agg,7
chain,16,928.59,194.49,best,RN not on agg,8
chain,16,1584.65,253.65,worst,RN not on agg,9
clique,25,12.30,1.82,best,RN not on agg,0
clique,25,12.30,1.82,worst,RN not on agg,1
star,25,299.07,126.50,best,RN not on agg,2
star,25,12.72,1.61,worst,RN not on agg,3
grid,25,447.05,95.24,best,RN not on agg,4
grid,25,577.92,100.24,worst,RN not on agg,5
ring,25,1997.85,280.55,best,RN not on agg,6
ring,25,1997.85,280.55,worst,RN not on agg,7
chain,25,2328.62,289.04,best,RN not on agg,8
chain,25,3308.09,142.94,worst,RN not on agg,9
